Year Month,Postal Code,Customer Class,Total Gallons
2012/01,78750,Multi-Family,"12,821,800"
2012/01,78750,Residential,"44,149,000"
2012/01,78750,Irrigation - Residential,0
2012/01,78751,Irrigation - Multi-Family,"236,800"
2012/01,78751,Irrigation - Residential,"41,000"
2012/01,78751,Multi-Family,"12,692,500"
2012/01,78751,Residential,"14,778,900"
2012/01,78752,Multi-Family,"22,526,500"
2012/01,78752,Irrigation - Multi-Family,"63,100"
2012/01,78752,Residential,"12,429,700"
2012/01,78753,Residential,"41,612,500"
2012/01,78753,Multi-Family,"60,190,000"
2012/01,78753,Irrigation - Multi-Family,"1,977,100"
2012/01,78753,Irrigation - Residential,0
2012/01,78754,Irrigation - Residential,"36,900"
2012/01,78754,Irrigation - Multi-Family,"2,212,500"
2012/01,78754,Multi-Family,"15,749,600"
2012/01,78754,Residential,"19,253,100"
2012/01,78756,Residential,"10,411,500"
2012/01,78756,Irrigation - Residential,"24,500"
2012/01,78756,Irrigation - Multi-Family,"76,900"
2012/01,78756,Multi-Family,"5,422,900"
2012/01,78757,Residential,"30,874,100"
2012/01,78757,Irrigation - Multi-Family,"12,500"
2012/01,78757,Multi-Family,"13,906,900"
2012/01,78757,Irrigation - Residential,"36,300"
2012/01,78758,Residential,"40,536,400"
2012/01,78758,Irrigation - Multi-Family,"1,216,400"
2012/01,78758,Irrigation - Residential,0
2012/01,78758,Multi-Family,"43,847,800"
2012/01,78759,Irrigation - Residential,"29,300"
2012/01,78759,Irrigation - Multi-Family,"558,500"
2012/01,78759,Residential,"53,707,200"
2012/01,78759,Multi-Family,"39,841,000"
2012/02,78613,Irrigation - Multi-Family,"2,000"
2012/02,78613,Multi-Family,"20,700"
2012/02,78617,Residential,"17,444,700"
2012/02,78617,Multi-Family,"4,661,800"
2012/02,78652,Residential,"585,400"
2012/02,78652,Irrigation - Residential,"42,200"
2012/02,78652,Multi-Family,"14,100"
2012/02,78653,Residential,"810,600"
2012/02,78653,Multi-Family,"89,500"
2012/02,78660,Multi-Family,"144,500"
2012/02,78660,Residential,"6,358,300"
2012/02,78701,Multi-Family,"12,086,900"
2012/02,78701,Irrigation - Multi-Family,"90,300"
2012/02,78701,Residential,"819,600"
2012/02,78702,Irrigation - Multi-Family,"534,800"
2012/02,78702,Multi-Family,"8,213,200"
2012/02,78702,Residential,"23,864,100"
2012/02,78702,Irrigation - Residential,"6,300"
2012/02,78703,Irrigation - Residential,"654,000"
2012/02,78703,Multi-Family,"11,063,200"
2012/02,78703,Residential,"37,378,500"
2012/02,78703,Irrigation - Multi-Family,"311,500"
2012/02,78704,Irrigation - Residential,"101,400"
2012/02,78704,Multi-Family,"43,075,000"
2012/02,78704,Irrigation - Multi-Family,"761,700"
2012/02,78704,Residential,"36,101,000"
2012/02,78705,Residential,"8,184,700"
2012/02,78705,Multi-Family,"29,835,100"
2012/02,78705,Irrigation - Residential,"48,700"
2012/02,78705,Irrigation - Multi-Family,"313,000"
2012/02,78712,Residential,0
2012/02,78717,Irrigation - Multi-Family,"1,303,100"
2012/02,78717,Multi-Family,"7,520,400"
2012/02,78717,Residential,"19,562,600"
2012/02,78717,Irrigation - Residential,0
2012/02,78719,Multi-Family,"584,700"
2012/02,78719,Residential,"1,562,400"
2012/02,78721,Irrigation - Multi-Family,0
2012/02,78721,Irrigation - Residential,900
2012/02,78721,Residential,"13,099,100"
2012/02,78721,Multi-Family,"3,711,200"
2012/02,78722,Multi-Family,"2,278,400"
2012/02,78722,Residential,"7,240,400"
2012/02,78722,Irrigation - Multi-Family,0
2012/02,78723,Residential,"29,405,100"
2012/02,78723,Irrigation - Multi-Family,"151,300"
2012/02,78723,Multi-Family,"19,001,300"
2012/02,78724,Irrigation - Multi-Family,"327,200"
2012/02,78724,Irrigation - Residential,"17,900"
2012/02,78724,Multi-Family,"9,522,300"
2012/02,78724,Residential,"16,923,900"
2012/02,78725,Residential,"1,816,500"
2012/02,78725,Irrigation - Multi-Family,0
2012/02,78725,Multi-Family,"206,700"
2012/02,78726,Residential,"11,341,400"
2012/02,78726,Irrigation - Multi-Family,"2,313,800"
2012/02,78726,Irrigation - Residential,"1,700"
2012/02,78726,Multi-Family,"11,423,300"
2012/02,78727,Residential,"30,601,400"
2012/02,78727,Irrigation - Multi-Family,"1,738,100"
2012/02,78727,Irrigation - Residential,"1,600"
2012/02,78727,Multi-Family,"18,099,300"
2012/02,78728,Multi-Family,"6,345,400"
2012/02,78728,Residential,"3,111,200"
2012/02,78728,Irrigation - Multi-Family,"187,900"
2012/02,78729,Irrigation - Multi-Family,"1,121,900"
2012/02,78729,Multi-Family,"19,837,500"
2012/02,78729,Residential,"17,517,300"
2012/02,78729,Irrigation - Residential,"3,000"
2012/02,78730,Irrigation - Multi-Family,"542,500"
2012/02,78730,Irrigation - Residential,"163,700"
2012/02,78730,Residential,"4,248,600"
2012/02,78730,Multi-Family,"4,058,800"
2012/02,78731,Multi-Family,"16,390,500"
2012/02,78731,Residential,"41,960,600"
2012/02,78731,Irrigation - Residential,"201,800"
2012/02,78731,Irrigation - Multi-Family,"529,500"
2012/02,78735,Residential,"13,670,600"
2012/02,78735,Multi-Family,"8,649,700"
2012/02,78735,Irrigation - Multi-Family,"524,000"
2012/02,78736,Multi-Family,"2,434,700"
2012/02,78736,Irrigation - Residential,"3,800"
2012/02,78736,Irrigation - Multi-Family,"229,800"
2012/02,78736,Residential,"9,641,500"
2012/02,78737,Residential,"4,378,400"
2012/02,78737,Irrigation - Residential,"2,700"
2012/02,78738,Residential,"6,300"
2012/02,78739,Residential,"27,667,700"
2012/02,78739,Irrigation - Residential,0
2012/02,78741,Irrigation - Residential,"3,700"
2012/02,78741,Residential,"16,956,200"
2012/02,78741,Multi-Family,"73,949,800"
2012/02,78741,Irrigation - Multi-Family,"1,612,400"
2012/02,78742,Multi-Family,"343,100"
2012/02,78742,Residential,"598,300"
2012/02,78744,Multi-Family,"25,653,800"
2012/02,78744,Irrigation - Residential,600
2012/02,78744,Residential,"45,506,200"
2012/02,78744,Irrigation - Multi-Family,"221,200"
2012/02,78745,Multi-Family,"29,495,700"
2012/02,78745,Irrigation - Multi-Family,"1,684,400"
2012/02,78745,Irrigation - Residential,"13,400"
2012/02,78745,Residential,"63,720,900"
2012/02,78746,Multi-Family,"12,055,100"
2012/02,78746,Irrigation - Residential,"181,000"
2012/02,78746,Residential,"21,352,700"
2012/02,78746,Irrigation - Multi-Family,"235,100"
2012/02,78747,Irrigation - Multi-Family,"186,400"
2012/02,78747,Irrigation - Residential,"71,600"
2012/02,78747,Multi-Family,"5,608,000"
2012/02,78747,Residential,"18,241,800"
2012/02,78748,Irrigation - Multi-Family,"2,546,700"
2012/02,78748,Residential,"55,777,400"
2012/02,78748,Irrigation - Residential,0
2012/02,78748,Multi-Family,"13,949,300"
2012/02,78749,Irrigation - Residential,"1,300"
2012/02,78749,Multi-Family,"11,642,000"
2012/02,78749,Residential,"46,337,400"
2012/02,78749,Irrigation - Multi-Family,"2,901,300"
2012/02,78750,Irrigation - Multi-Family,"408,800"
2012/02,78750,Irrigation - Residential,0
2012/02,78750,Multi-Family,"11,508,600"
2012/02,78750,Residential,"36,809,500"
2012/02,78751,Irrigation - Multi-Family,"263,500"
2012/02,78751,Irrigation - Residential,"51,600"
2012/02,78751,Multi-Family,"12,621,100"
2012/02,78751,Residential,"13,753,300"
2012/02,78752,Residential,"11,479,800"
2012/02,78752,Irrigation - Multi-Family,"55,400"
2012/02,78752,Multi-Family,"19,718,900"
2012/02,78753,Multi-Family,"47,731,500"
2012/02,78753,Residential,"34,517,300"
2012/02,78753,Irrigation - Residential,0
2012/02,78753,Irrigation - Multi-Family,"1,920,500"
2012/02,78754,Irrigation - Multi-Family,"933,900"
2012/02,78754,Multi-Family,"11,194,400"
2012/02,78754,Irrigation - Residential,0
2012/02,78754,Residential,"15,382,200"
2012/02,78756,Residential,"9,079,000"
2012/02,78756,Irrigation - Residential,"11,000"
2012/02,78756,Multi-Family,"5,256,900"
2012/02,78756,Irrigation - Multi-Family,"68,600"
2012/02,78757,Irrigation - Multi-Family,"16,000"
2012/02,78757,Residential,"26,408,400"
2012/02,78757,Irrigation - Residential,"56,200"
2012/02,78757,Multi-Family,"12,199,500"
2012/02,78758,Residential,"35,177,300"
2012/02,78758,Irrigation - Residential,300
2012/02,78758,Irrigation - Multi-Family,"760,200"
2012/02,78758,Multi-Family,"37,668,300"
2012/02,78759,Residential,"46,092,800"
2012/02,78759,Irrigation - Residential,"21,100"
2012/02,78759,Irrigation - Multi-Family,"547,800"
2012/02,78759,Multi-Family,"32,890,500"
2012/03,78613,Multi-Family,"46,300"
2012/03,78613,Irrigation - Multi-Family,"13,000"
2012/03,78617,Residential,"17,798,000"
2012/03,78617,Multi-Family,"3,578,600"
2012/03,78652,Irrigation - Residential,"19,700"
2012/03,78652,Residential,"696,200"
2012/03,78652,Multi-Family,"21,100"
2012/03,78653,Multi-Family,"69,700"
2012/03,78653,Residential,"851,100"
2012/03,78660,Irrigation - Residential,"5,900"
2012/03,78660,Multi-Family,"125,000"
2012/03,78660,Residential,"6,990,600"
2012/03,78701,Residential,"1,014,400"
2012/03,78701,Irrigation - Multi-Family,"137,500"
2012/03,78701,Multi-Family,"12,766,300"
2012/03,78702,Irrigation - Multi-Family,"412,500"
2012/03,78702,Irrigation - Residential,"27,000"
2012/03,78702,Residential,"26,549,200"
2012/03,78702,Multi-Family,"9,410,400"
2012/03,78703,Multi-Family,"12,261,300"
2012/03,78703,Residential,"39,472,900"
2012/03,78703,Irrigation - Multi-Family,"215,200"
2012/03,78703,Irrigation - Residential,"649,100"
2012/03,78704,Irrigation - Multi-Family,"796,100"
2012/03,78704,Multi-Family,"46,078,600"
2012/03,78704,Irrigation - Residential,"134,500"
2012/03,78704,Residential,"40,437,200"
2012/03,78705,Irrigation - Residential,"38,900"
2012/03,78705,Irrigation - Multi-Family,"339,300"
2012/03,78705,Multi-Family,"33,634,300"
2012/03,78705,Residential,"8,732,300"
2012/03,78712,Residential,0
2012/03,78717,Irrigation - Multi-Family,"1,436,400"
2012/03,78717,Irrigation - Residential,0
2012/03,78717,Multi-Family,"7,487,800"
2012/03,78717,Residential,"24,170,500"
2012/03,78719,Multi-Family,"553,800"
2012/03,78719,Residential,"1,448,200"
2012/03,78721,Irrigation - Residential,300
2012/03,78721,Residential,"14,857,300"
2012/03,78721,Multi-Family,"4,620,500"
2012/03,78721,Irrigation - Multi-Family,0
2012/03,78722,Irrigation - Multi-Family,0
2012/03,78722,Residential,"7,855,400"
2012/03,78722,Multi-Family,"2,635,900"
2012/03,78723,Irrigation - Multi-Family,"160,300"
2012/03,78723,Multi-Family,"19,841,200"
2012/03,78723,Residential,"31,021,600"
2012/03,78724,Multi-Family,"14,199,200"
2012/03,78724,Residential,"19,610,500"
2012/03,78724,Irrigation - Multi-Family,"195,500"
2012/03,78724,Irrigation - Residential,"20,300"
2012/03,78725,Multi-Family,"244,500"
2012/03,78725,Residential,"1,988,200"
2012/03,78726,Multi-Family,"11,131,400"
2012/03,78726,Irrigation - Multi-Family,"1,924,000"
2012/03,78726,Irrigation - Residential,"1,000"
2012/03,78726,Residential,"12,444,900"
2012/03,78727,Multi-Family,"19,027,400"
2012/03,78727,Irrigation - Residential,800
2012/03,78727,Residential,"33,149,600"
2012/03,78727,Irrigation - Multi-Family,"2,363,500"
2012/03,78728,Multi-Family,"7,288,600"
2012/03,78728,Residential,"3,759,700"
2012/03,78728,Irrigation - Multi-Family,"125,800"
2012/03,78729,Residential,"18,614,600"
