Year Month,Postal Code,Customer Class,Total Gallons
2012/01,78756,Irrigation - Multi-Family,76900
2012/01,78756,Multi-Family,5422900
2012/01,78757,Residential,30874100
2012/01,78757,Irrigation - Multi-Family,12500
2012/01,78757,Multi-Family,13906900
2012/01,78757,Irrigation - Residential,36300
2012/01,78758,Residential,40536400
2012/01,78758,Irrigation - Multi-Family,1216400
2012/01,78758,Irrigation - Residential,0
2012/01,78758,Multi-Family,43847800
2012/01,78759,Irrigation - Residential,29300
2012/01,78759,Irrigation - Multi-Family,558500
2012/01,78759,Residential,53707200
2012/01,78759,Multi-Family,39841000
2012/02,78613,Irrigation - Multi-Family,2000
2012/02,78613,Multi-Family,20700
2012/02,78617,Residential,17444700
2012/02,78617,Multi-Family,4661800
2012/02,78652,Residential,585400
2012/02,78652,Irrigation - Residential,42200
2012/02,78652,Multi-Family,14100
2012/02,78653,Residential,810600
2012/02,78653,Multi-Family,89500
2012/02,78660,Multi-Family,144500
2012/02,78660,Residential,6358300
2012/02,78701,Multi-Family,12086900
2012/02,78701,Irrigation - Multi-Family,90300
2012/02,78701,Residential,819600
2012/02,78702,Irrigation - Multi-Family,534800
2012/02,78702,Multi-Family,8213200
2012/02,78702,Residential,23864100
2012/02,78702,Irrigation - Residential,6300
2012/02,78703,Irrigation - Residential,654000
2012/02,78703,Multi-Family,11063200
2012/02,78703,Residential,37378500
2012/02,78703,Irrigation - Multi-Family,311500
2012/02,78704,Irrigation - Residential,101400
2012/02,78704,Multi-Family,43075000
2012/02,78704,Irrigation - Multi-Family,761700
2012/02,78704,Residential,36101000
2012/02,78705,Residential,8184700
2012/02,78705,Multi-Family,29835100
2012/02,78705,Irrigation - Residential,48700
2012/02,78705,Irrigation - Multi-Family,313000
2012/02,78712,Residential,0
2012/02,78717,Irrigation - Multi-Family,1303100
2012/02,78717,Multi-Family,7520400
2012/02,78717,Residential,19562600
2012/02,78717,Irrigation - Residential,0
2012/02,78719,Multi-Family,584700
2012/02,78719,Residential,1562400
2012/02,78721,Irrigation - Multi-Family,0
2012/02,78721,Irrigation - Residential,900
2012/02,78721,Residential,13099100
2012/02,78721,Multi-Family,3711200
2012/02,78722,Multi-Family,2278400
2012/02,78722,Residential,7240400
2012/02,78722,Irrigation - Multi-Family,0
2012/02,78723,Residential,29405100
2012/02,78723,Irrigation - Multi-Family,151300
2012/02,78723,Multi-Family,19001300
2012/02,78724,Irrigation - Multi-Family,327200
2012/02,78724,Irrigation - Residential,17900
2012/02,78724,Multi-Family,9522300
2012/02,78724,Residential,16923900
2012/02,78725,Residential,1816500
2012/02,78725,Irrigation - Multi-Family,0
2012/02,78725,Multi-Family,206700
2012/02,78726,Residential,11341400
2012/02,78726,Irrigation - Multi-Family,2313800
2012/02,78726,Irrigation - Residential,1700
2012/02,78726,Multi-Family,11423300
2012/02,78727,Residential,30601400
2012/02,78727,Irrigation - Multi-Family,1738100
2012/02,78727,Irrigation - Residential,1600
2012/02,78727,Multi-Family,18099300
2012/02,78728,Multi-Family,6345400
2012/02,78728,Residential,3111200
2012/02,78728,Irrigation - Multi-Family,187900
2012/02,78729,Irrigation - Multi-Family,1121900
2012/02,78729,Multi-Family,19837500
2012/02,78729,Residential,17517300
2012/02,78729,Irrigation - Residential,3000
2012/02,78730,Irrigation - Multi-Family,542500
2012/02,78730,Irrigation - Residential,163700
2012/02,78730,Residential,4248600
2012/02,78730,Multi-Family,4058800
2012/02,78731,Multi-Family,16390500
2012/02,78731,Residential,41960600
2012/02,78731,Irrigation - Residential,201800
2012/02,78731,Irrigation - Multi-Family,529500
2012/02,78735,Residential,13670600
2012/02,78735,Multi-Family,8649700
2012/02,78735,Irrigation - Multi-Family,524000
2012/02,78736,Multi-Family,2434700
2012/02,78736,Irrigation - Residential,3800
2012/02,78736,Irrigation - Multi-Family,229800
2012/02,78736,Residential,9641500
2012/02,78737,Residential,4378400
2012/02,78737,Irrigation - Residential,2700
2012/02,78738,Residential,6300
2012/02,78739,Residential,27667700
2012/02,78739,Irrigation - Residential,0
2012/02,78741,Irrigation - Residential,3700
2012/02,78741,Residential,16956200
2012/02,78741,Multi-Family,73949800
2012/02,78741,Irrigation - Multi-Family,1612400
2012/02,78742,Multi-Family,343100
2012/02,78742,Residential,598300
2012/02,78744,Multi-Family,25653800
2012/02,78744,Irrigation - Residential,600
2012/02,78744,Residential,45506200
2012/02,78744,Irrigation - Multi-Family,221200
2012/02,78745,Multi-Family,29495700
2012/02,78745,Irrigation - Multi-Family,1684400
2012/02,78745,Irrigation - Residential,13400
2012/02,78745,Residential,63720900
2012/02,78746,Multi-Family,12055100
2012/02,78746,Irrigation - Residential,181000
2012/02,78746,Residential,21352700
2012/02,78746,Irrigation - Multi-Family,235100
2012/02,78747,Irrigation - Multi-Family,186400
2012/02,78747,Irrigation - Residential,71600
2012/02,78747,Multi-Family,5608000
2012/02,78747,Residential,18241800
2012/02,78748,Irrigation - Multi-Family,2546700
2012/02,78748,Residential,55777400
2012/02,78748,Irrigation - Residential,0
2012/02,78748,Multi-Family,13949300
2012/02,78749,Irrigation - Residential,1300
2012/02,78749,Multi-Family,11642000
2012/02,78749,Residential,46337400
2012/02,78749,Irrigation - Multi-Family,2901300
2012/02,78750,Irrigation - Multi-Family,408800
2012/02,78750,Irrigation - Residential,0
